paper_id,title,first_author,publication_year,journal,doi,abstract_or_summary,source_api,is_open_access,has_abstract,has_fulltext,document_type,retrieval_query,retrieval_date,screening_status,screening_notes,normalized_title,dedup_key_doi,dedup_key_title_year,duplicate_resolution_basis,master_screening_bucket,non_target_flag,journal_impact_factor_year,journal_impact_factor,journal_quartile,journal_metrics_source,journal_metrics_notes,needs_manual_journal_check
paper_0171,Dual‐Function Cobalt–Nickel Nanoparticles Tailored for High‐Temperature Induction‐Heated Steam Methane Reforming,Morten G. Vinum,2018.0,Angewandte Chemie International Edition,10.1002/anie.201804832,"Abstract The tailored chemical synthesis of binary and ternary alloy nanoparticles with a uniform elemental composition is presented. Their dual use as magnetic susceptors for induction heating and catalytic agent for steam reforming of methane to produce hydrogen at temperatures near and above 800 °C is demonstrated. The heating and catalytic performance of two chemically synthesized samples of CoNi and Cu ⊂ CoNi are compared and held against a traditional Ni‐based reforming catalyst. The structural, magnetic, and catalytic properties of the samples were characterized by X‐ray diffraction, elemental analysis, magnetometry, and reactivity measurements. For induction‐heated catalysts, the conversion rate of methane is limited by chemical reactivity, as opposed to the case of traditional externally heated reformers where heat transport limitations are the limiting factor. Catalyst production by the synthetic route allows controlled doping with miniscule concentrations of auxiliary metals.",openalex,no,yes,yes,journal_article,Ni-based steam reforming of methane catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,dual function cobalt nickel nanoparticles tailored for high temperature induction heated steam methane reforming,10.1002/anie.201804832,dual function cobalt nickel nanoparticles tailored for high temperature induction heated steam methane reforming::2018.0,,candidate,no,,,,,,yes
paper_0172,Monolithic substrate support catalyst design considerations for steam methane reforming operation,Baharudin,2018.0,Reviews in Chemical Engineering,10.1515/revce-2016-0048,"Abstract This paper reviews the research undertaken to study the design criteria that address the monolithic support structure requirements in steam reforming operation for the effective mass transfer of process gases to the active sites and effective conductive heat transfer through tube wall to the active catalytic areas, as well as low pressure drop operation. Design considerations include selection of substrate materials that possess good mechanical strength to withstand the severe reaction conditions and prevent catalyst crushing that would lead to carbon formation and catalyst deactivation, and excessive heating of the tube that results in hot spots which is fatal to tube lifetime. The support’s mechanical properties are listed for the purpose of providing guidelines on verifying the structure durability. The practical aspect of packaging and stacking the monolith structures in the reformer tube for ease of loading and discharge is discussed to understand its readiness in industrial application.",crossref,unclear,yes,yes,review,methane steam reforming catalyst,2026-04-24,pending_manual_screen,review_kept_separately_for_manual_flagging,monolithic substrate support catalyst design considerations for steam methane reforming operation,10.1515/revce-2016-0048,monolithic substrate support catalyst design considerations for steam methane reforming operation::2018.0,,candidate,no,,,,,,yes
paper_0173,Real time optimization of steam reforming of methane in an industrial hydrogen plant,M. Taji,2018.0,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2018.05.094,,openalex,no,no,yes,journal_article,steam reforming of methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,real time optimization of steam reforming of methane in an industrial hydrogen plant,10.1016/j.ijhydene.2018.05.094,real time optimization of steam reforming of methane in an industrial hydrogen plant::2018.0,,candidate,no,2025,8.3,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/international-journal-of-hydrogen-energy,no
paper_0174,Recent Advances in Supported Metal Catalysts for Syngas Production from Methane,Mohanned Mohamedali,2018.0,ChemEngineering,10.3390/chemengineering2010009,"Over the past few years, great attention is paid to syngas production processes from different resources especially from abundant sources, such as methane. This review of the literature is intended for syngas production from methane through the dry reforming (DRM) and the steam reforming of methane (SRM). The catalyst development for DRM and SRM represents the key factor to realize a commercial application through the utilization of more efficient catalytic systems. Due to the enormous amount of published literature in this field, the current work is mainly dedicated to the most recent achievements in the metal-oxide catalyst development for DRM and SRM in the past five years. Ni-based supported catalysts are considered the most widely used catalysts for DRM and SRM, which are commercially available; hence, this review has focused on the recent advancements achieved in Ni catalysts with special focus on the various attempts to address the catalyst deactivation challenge in both DRM and SRM applications. Furthermore, other catalytic systems, including Co-based catalysts, noble metals (Pt, Rh, Ru, and Ir), and bimetallic systems have been included in this literature review to understand the observed improvements in the catalytic activities and coke suppression property of these catalysts.",openalex,yes,yes,yes,journal_article,SRM catalyst methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,recent advances in supported metal catalysts for syngas production from methane,10.3390/chemengineering2010009,recent advances in supported metal catalysts for syngas production from methane::2018.0,,non_target_flagged,yes,,,,,,yes
paper_0165,Catalytic properties of a pure Ni coil catalyst for methane steam reforming,Hirano,2017.0,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2017.10.135,,crossref,unclear,no,yes,journal_article,Ni-based steam reforming of methane catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,catalytic properties of a pure ni coil catalyst for methane steam reforming,10.1016/j.ijhydene.2017.10.135,catalytic properties of a pure ni coil catalyst for methane steam reforming::2017.0,,candidate,no,2025,8.3,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/international-journal-of-hydrogen-energy,no
paper_0166,Effect of Pt doping on activity and stability of Ni/MgAl2O4 catalyst for steam reforming of methane at ambient and high pressure condition,Vinod Kumar Jaiswar,2017.0,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2017.06.096,,openalex,no,no,yes,journal_article,steam reforming of methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,effect of pt doping on activity and stability of ni mgal2o4 catalyst for steam reforming of methane at ambient and high pressure condition,10.1016/j.ijhydene.2017.06.096,effect of pt doping on activity and stability of ni mgal2o4 catalyst for steam reforming of methane at ambient and high pressure condition::2017.0,,candidate,no,2025,8.3,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/international-journal-of-hydrogen-energy,no
paper_0167,Innovative catalyst design for methane steam reforming intensification,Ricca,2017.0,Fuel,10.1016/j.fuel.2016.11.006,,crossref,unclear,no,yes,journal_article,methane steam reforming catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,innovative catalyst design for methane steam reforming intensification,10.1016/j.fuel.2016.11.006,innovative catalyst design for methane steam reforming intensification::2017.0,,candidate,no,2025,7.5,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/fuel,no
paper_0168,Low temperature steam reforming of methane using metal oxide promoted Ni-Ce0.8Zr0.2O2 catalysts in a compact reformer,Hak-Min Kim,2017.0,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2017.11.058,,openalex,no,no,yes,journal_article,SRM catalyst methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,low temperature steam reforming of methane using metal oxide promoted ni ce0 8zr0 2o2 catalysts in a compact reformer,10.1016/j.ijhydene.2017.11.058,low temperature steam reforming of methane using metal oxide promoted ni ce0 8zr0 2o2 catalysts in a compact reformer::2017.0,,candidate,no,2025,8.3,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/international-journal-of-hydrogen-energy,no
paper_0169,Methane dissociative adsorption in catalytic steam reforming of methane over Pd/CeO2 in an electric field,Satoshi Okada,2017.0,Catalysis Today,10.1016/j.cattod.2017.05.079,,openalex,no,no,yes,journal_article,steam reforming of methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,methane dissociative adsorption in catalytic steam reforming of methane over pd ceo2 in an electric field,10.1016/j.cattod.2017.05.079,methane dissociative adsorption in catalytic steam reforming of methane over pd ceo2 in an electric field::2017.0,,candidate,no,2025,5.3,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/catalysis-today,no
paper_0157,Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process,Xia Yang,2016.0,Fuel,10.1016/j.fuel.2016.03.104,,openalex,no,no,yes,journal_article,Ni-based steam reforming of methane catalyst || methane steam reforming catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,characterization and performance evaluation of ni based catalysts with ce promoter for methane and hydrocarbons steam reforming process,10.1016/j.fuel.2016.03.104,characterization and performance evaluation of ni based catalysts with ce promoter for methane and hydrocarbons steam reforming process::2016.0,,candidate,no,2025,7.5,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/fuel,no
paper_0158,Differences in the Nature of Active Sites for Methane Dry Reforming and Methane Steam Reforming over Nickel Aluminate Catalysts,Jessica L. Rogers,2016.0,ACS Catalysis,10.1021/acscatal.6b01133,"The Pechini synthesis was used to prepare nickel aluminate catalysts with the compositions NiAl4O7, NiAl2O4, and Ni2Al2O5. The samples have been characterized by N2 physisorption, temperature-programmed reduction (TPR), temperature-programmed oxidation (TPO), X-ray diffraction (XRD), X-ray photoelectron spectroscopy (XPS), transmission electron microscopy (TEM), and X-ray absorption spectroscopy (XAS). Characterization results indicate unique structural properties and excellent regeneration potential of nickel aluminates. Prepared samples were tested when unreduced and reduced prior to reaction for methane dry reforming and methane steam reforming reactivity. NiAl2O4 in the reduced and unreduced state as well as NiAl4O7 in the reduced state are active and stable for methane dry reforming due to the presence of 4-fold coordinated oxidized nickel. The limited amount of metallic nickel in these samples minimizes carbon deposition. On the other hand, the presence of metallic nickel is required for methane steam reforming. Ni2Al2O5 in the reduced and unreduced states and NiAl2O4 in the reduced state are found to be active for methane steam reforming due to the presence of sufficiently small nickel nanoparticles that catalyze the reaction without accumulating carbonaceous deposits.",openalex,yes,yes,yes,journal_article,methane steam reforming catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,differences in the nature of active sites for methane dry reforming and methane steam reforming over nickel aluminate catalysts,10.1021/acscatal.6b01133,differences in the nature of active sites for methane dry reforming and methane steam reforming over nickel aluminate catalysts::2016.0,,non_target_flagged,yes,2025,13.1,,manual_lookup,Official ACS journal about page surfaced via search on 2026-04-27; https://pubs.acs.org/page/accacs/about.html,no
paper_0159,Effect of calcination temperature on stability and activity of Ni/MgAl2O4 catalyst for steam reforming of methane at high pressure condition,Sanjay Katheria,2016.0,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2016.05.109,,openalex,no,no,yes,journal_article,methane steam reforming catalyst || steam reforming of methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,effect of calcination temperature on stability and activity of ni mgal2o4 catalyst for steam reforming of methane at high pressure condition,10.1016/j.ijhydene.2016.05.109,effect of calcination temperature on stability and activity of ni mgal2o4 catalyst for steam reforming of methane at high pressure condition::2016.0,,candidate,no,2025,8.3,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/international-journal-of-hydrogen-energy,no
paper_0160,"High catalytic activity and stability of ZnLaAlO4 supported Ni, Pt and Ru nanocatalysts applied in the dry, steam and combined dry-steam reforming of methane",Yasin Khani,2016.0,Chemical Engineering Journal,10.1016/j.cej.2016.04.108,,openalex,no,no,yes,journal_article,SRM catalyst methane || steam reforming of methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,high catalytic activity and stability of znlaalo4 supported ni pt and ru nanocatalysts applied in the dry steam and combined dry steam reforming of methane,10.1016/j.cej.2016.04.108,high catalytic activity and stability of znlaalo4 supported ni pt and ru nanocatalysts applied in the dry steam and combined dry steam reforming of methane::2016.0,,candidate,no,2025,13.2,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/chemical-engineering-journal,no
paper_0161,Kinetic assessment of Ni-based catalysts in low-temperature methane/biogas steam reforming,Luca Turchetti,2016.0,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2016.07.245,,openalex,no,no,yes,journal_article,Ni-based steam reforming of methane catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,kinetic assessment of ni based catalysts in low temperature methane biogas steam reforming,10.1016/j.ijhydene.2016.07.245,kinetic assessment of ni based catalysts in low temperature methane biogas steam reforming::2016.0,,candidate,no,2025,8.3,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/international-journal-of-hydrogen-energy,no
paper_0162,Microwave plasma-based method of hydrogen production via combined steam reforming of methane,Dariusz Czylkowski,2016.0,Energy,10.1016/j.energy.2016.07.088,,openalex,no,no,yes,journal_article,steam reforming of methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,microwave plasma based method of hydrogen production via combined steam reforming of methane,10.1016/j.energy.2016.07.088,microwave plasma based method of hydrogen production via combined steam reforming of methane::2016.0,,candidate,no,2025,9.4,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/energy,no
paper_0163,Modelling and simulation in conventional fixed-bed and fixed-bed membrane reactors for the steam reforming of methane,Jornandes Dias da Silva,2016.0,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2016.01.083,,openalex,no,no,yes,journal_article,steam reforming of methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,modelling and simulation in conventional fixed bed and fixed bed membrane reactors for the steam reforming of methane,10.1016/j.ijhydene.2016.01.083,modelling and simulation in conventional fixed bed and fixed bed membrane reactors for the steam reforming of methane::2016.0,,candidate,no,2025,8.3,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/international-journal-of-hydrogen-energy,no
paper_0164,Ni–perovskite interaction and its structural and catalytic consequences in methane steam reforming and methanation reactions,Ramona Thalinger,2016.0,Journal of Catalysis,10.1016/j.jcat.2016.01.020,,openalex,yes,no,yes,journal_article,steam reforming of methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,ni perovskite interaction and its structural and catalytic consequences in methane steam reforming and methanation reactions,10.1016/j.jcat.2016.01.020,ni perovskite interaction and its structural and catalytic consequences in methane steam reforming and methanation reactions::2016.0,,candidate,no,2025,6.5,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/journal-of-catalysis,no
paper_0148,Catalyst development for steam reforming of methane and model biogas at low temperature,Sofia Angeli,2015.0,Applied Catalysis B: Environmental,10.1016/j.apcatb.2015.07.039,,openalex,no,no,yes,journal_article,methane steam reforming catalyst || steam reforming of methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,catalyst development for steam reforming of methane and model biogas at low temperature,10.1016/j.apcatb.2015.07.039,catalyst development for steam reforming of methane and model biogas at low temperature::2015.0,,candidate,no,2025,21.1,,manual_lookup,Current official ScienceDirect journal title is Applied Catalysis B: Environment and Energy; metric captured on 2026-04-27; https://www.sciencedirect.com/journal/applied-catalysis-b-environment-and-energy,no
paper_0149,Development of catalysts for hydrogen production through the integration of steam reforming of methane and high temperature water gas shift,Trevor L. LeValley,2015.0,Energy,10.1016/j.energy.2015.07.106,,openalex,no,no,yes,journal_article,SRM catalyst methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,development of catalysts for hydrogen production through the integration of steam reforming of methane and high temperature water gas shift,10.1016/j.energy.2015.07.106,development of catalysts for hydrogen production through the integration of steam reforming of methane and high temperature water gas shift::2015.0,,candidate,no,2025,9.4,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/energy,no
paper_0150,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,Na Young Kim,2015.0,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2015.06.104,,openalex,no,no,yes,journal_article,SRM catalyst methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,hydrogen production by steam reforming of methane over mixed ni mgal crfe 3 o 4 catalysts,10.1016/j.ijhydene.2015.06.104,hydrogen production by steam reforming of methane over mixed ni mgal crfe 3 o 4 catalysts::2015.0,,candidate,no,2025,8.3,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/international-journal-of-hydrogen-energy,no
paper_0151,Ni/TiO2 for low temperature steam reforming of methane,Ee Teng Kho,2015.0,Chemical Engineering Science,10.1016/j.ces.2015.10.021,,openalex,no,no,yes,journal_article,SRM catalyst methane || steam reforming of methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,ni tio2 for low temperature steam reforming of methane,10.1016/j.ces.2015.10.021,ni tio2 for low temperature steam reforming of methane::2015.0,,candidate,no,2025,4.3,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/chemical-engineering-science,no
paper_0152,"Partial oxidation of methane over Ni0/La2O3 bifunctional catalyst III. Steady state activity of methane total oxidation, dry reforming, steam reforming and partial oxidation. Sequences of elementary steps",Tri Huu Nguyen,2015.0,Applied Catalysis B: Environmental,10.1016/j.apcatb.2015.09.016,,openalex,no,no,yes,journal_article,SRM catalyst methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,partial oxidation of methane over ni0 la2o3 bifunctional catalyst iii steady state activity of methane total oxidation dry reforming steam reforming and partial oxidation sequences of elementary steps,10.1016/j.apcatb.2015.09.016,partial oxidation of methane over ni0 la2o3 bifunctional catalyst iii steady state activity of methane total oxidation dry reforming steam reforming and partial oxidation sequences of elementary steps::2015.0,,non_target_flagged,yes,2025,21.1,,manual_lookup,Current official ScienceDirect journal title is Applied Catalysis B: Environment and Energy; metric captured on 2026-04-27; https://www.sciencedirect.com/journal/applied-catalysis-b-environment-and-energy,no
paper_0153,Recent Advances on the Design of Group VIII Base-Metal Catalysts with Encapsulated Structures,Hao Tian,2015.0,ACS Catalysis,10.1021/acscatal.5b01221,"Inexpensive group VIII metal (i.e., Fe, Co, and Ni)-based solid catalysts have been widely used in various energy transformation processes such as Fischer–Tropsch (F–T) synthesis, reforming, and water–gas shift reactions. The emerging encapsulation strategy, which represents active metal species that are coated by a protective shell or matrix, has been demonstrated as a powerful means to promote the catalytic performance (i.e., activity, stability, and selectivity) of Fe-, Co-, and Ni-based catalysts due to synergic effects from the well-defined structures. This review describes recent progress on the design and synthesis of encapsulated group VIII base-metal nanomaterials developed for energy and environmental catalysis including syngas conversion, CO2 dry reforming, steam reforming, methane conversion, and NH3 decomposition. We start with an introduction of the catalysts with different encapsulating structures (e.g., core@shell, yolk@shell, core@tube, mesoporous structures, and lamellar structures). Then, the synthetic methods of Fe-, Co-, and Ni-based catalysts with encapsulated structures are described in detail. The functions of encapsulation structures in catalysis, including protecting metal nanoparticles (NPs) from sintering, promoting the activity due to the confinement effect, and intensifying reaction processes in the form of multifunctional catalysts, are discussed, respectively. Our perspectives regarding the challenges and opportunities for future research in the field are also provided.",openalex,no,yes,yes,journal_article,Ni-based steam reforming of methane catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,recent advances on the design of group viii base metal catalysts with encapsulated structures,10.1021/acscatal.5b01221,recent advances on the design of group viii base metal catalysts with encapsulated structures::2015.0,,non_target_flagged,yes,2025,13.1,,manual_lookup,Official ACS journal about page surfaced via search on 2026-04-27; https://pubs.acs.org/page/accacs/about.html,no
paper_0154,Ru–Ni Catalyst in the Combined Dry-Steam Reforming of Methane: The Importance in the Metal Order Addition,Andrea Álvarez Moreno,2015.0,Topics in Catalysis,10.1007/s11244-015-0426-5,,openalex,yes,no,yes,journal_article,steam reforming of methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,ru ni catalyst in the combined dry steam reforming of methane the importance in the metal order addition,10.1007/s11244-015-0426-5,ru ni catalyst in the combined dry steam reforming of methane the importance in the metal order addition::2015.0,,candidate,no,,,,,,yes
paper_0155,Steam reforming of methane over Ni/SiO2 catalyst with enhanced coke resistance at low steam to methane ratio,Yao Zhang,2015.0,Catalysis Today,10.1016/j.cattod.2015.01.016,,crossref;openalex,no,no,yes,journal_article,Ni-based steam reforming of methane catalyst || SRM catalyst methane || methane steam reforming catalyst || steam reforming of methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,steam reforming of methane over ni sio2 catalyst with enhanced coke resistance at low steam to methane ratio,10.1016/j.cattod.2015.01.016,steam reforming of methane over ni sio2 catalyst with enhanced coke resistance at low steam to methane ratio::2015.0,,candidate,no,2025,5.3,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/catalysis-today,no
paper_0156,Thermodynamic analysis of steam reforming of methane with statistical approaches,Farshad Farshchi Tabrizi,2015.0,Energy Conversion and Management,10.1016/j.enconman.2015.07.005,,openalex,no,no,yes,journal_article,steam reforming of methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,thermodynamic analysis of steam reforming of methane with statistical approaches,10.1016/j.enconman.2015.07.005,thermodynamic analysis of steam reforming of methane with statistical approaches::2015.0,,candidate,no,,,,,,yes
paper_0140,Catalyst design for methane steam reforming,Viswanathan Arcotumapathy,2014.0,Applied Catalysis A General,10.1016/j.apcata.2014.04.020,,openalex,no,no,yes,journal_article,methane steam reforming catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,catalyst design for methane steam reforming,10.1016/j.apcata.2014.04.020,catalyst design for methane steam reforming::2014.0,,candidate,no,2025,4.8,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/applied-catalysis-a-general,no
paper_0141,Evaluation of the economic impact of hydrogen production by methane decomposition with steam reforming of methane process,Kartick C. Mondal,2014.0,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2014.04.087,,openalex,no,no,yes,journal_article,steam reforming of methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,evaluation of the economic impact of hydrogen production by methane decomposition with steam reforming of methane process,10.1016/j.ijhydene.2014.04.087,evaluation of the economic impact of hydrogen production by methane decomposition with steam reforming of methane process::2014.0,,candidate,no,2025,8.3,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/international-journal-of-hydrogen-energy,no
paper_0142,Highly active and stable MgAl2O4-supported Rh and Ir catalysts for methane steam reforming: A combined experimental and theoretical study,Donghai Mei,2014.0,Journal of Catalysis,10.1016/j.jcat.2014.04.021,,openalex,no,no,yes,journal_article,methane steam reforming catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,highly active and stable mgal2o4 supported rh and ir catalysts for methane steam reforming a combined experimental and theoretical study,10.1016/j.jcat.2014.04.021,highly active and stable mgal2o4 supported rh and ir catalysts for methane steam reforming a combined experimental and theoretical study::2014.0,,candidate,no,2025,6.5,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/journal-of-catalysis,no
paper_0143,Methane Steam Reforming over a Ni/NiAl<sub>2</sub>O<sub>4</sub> Model Catalyst—Kinetics,Sprung,2014.0,ChemCatChem,10.1002/cctc.201402017,"Abstract The steam reforming reaction of methane to synthesis gas (CO and H 2 ) was investigated in a very broad steam‐to‐carbon (S/C) ratio range (0.2–7.1) over a Ni/NiAl 2 O 4 catalyst at 843, 858, and 873 K. The dataset includes 179 data points at each temperature giving a detailed insight in the gradual change of kinetic orders in both methane and steam with changing S/C ratios as well as with total reactant partial pressures at differential conversion levels. At low S/C ratios, steam dominates the kinetics with high kinetic orders (low for methane) and vice versa for methane at high S/C ratios. The extent of the water gas shift reaction was assessed by 13 CO 2 co‐feed experiments and thermodynamic modelling and found to be not in equilibrium. A change in the kinetic isotope effect (i.e., inverse and normal), as well as the apparent activation energy, was observed depending on the applied S/C ratios. The experimental data were satisfactorily described by a Langmuir–Hinshelwood expression.",crossref,unclear,yes,yes,journal_article,Ni-based steam reforming of methane catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,methane steam reforming over a ni nial sub 2 sub o sub 4 sub model catalyst kinetics,10.1002/cctc.201402017,methane steam reforming over a ni nial sub 2 sub o sub 4 sub model catalyst kinetics::2014.0,,candidate,no,,,,,,yes
paper_0144,"Semiconductor Photocatalysts for Non-oxidative Coupling, Dry Reforming and Steam Reforming of Methane",Katsuya Shimura,2014.0,Catalysis Surveys from Asia,10.1007/s10563-014-9165-z,,openalex,yes,no,yes,journal_article,steam reforming of methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,semiconductor photocatalysts for non oxidative coupling dry reforming and steam reforming of methane,10.1007/s10563-014-9165-z,semiconductor photocatalysts for non oxidative coupling dry reforming and steam reforming of methane::2014.0,,non_target_flagged,yes,,,,,,yes
paper_0145,"Syngas production by methane oxy-steam reforming on Me/CeO2 (Me = Rh, Pt, Ni) catalyst lined on cordierite monoliths",Antonio Vita,2014.0,Applied Catalysis B: Environmental,10.1016/j.apcatb.2014.07.028,,openalex,no,no,yes,journal_article,methane steam reforming catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,syngas production by methane oxy steam reforming on me ceo2 me rh pt ni catalyst lined on cordierite monoliths,10.1016/j.apcatb.2014.07.028,syngas production by methane oxy steam reforming on me ceo2 me rh pt ni catalyst lined on cordierite monoliths::2014.0,,candidate,no,2025,21.1,,manual_lookup,Current official ScienceDirect journal title is Applied Catalysis B: Environment and Energy; metric captured on 2026-04-27; https://www.sciencedirect.com/journal/applied-catalysis-b-environment-and-energy,no
paper_0146,Three-dimensionally ordered macroporous LaFeO3 perovskites for chemical-looping steam reforming of methane,Kun Zhao,2014.0,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2013.12.046,,openalex,no,no,yes,journal_article,steam reforming of methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,three dimensionally ordered macroporous lafeo3 perovskites for chemical looping steam reforming of methane,10.1016/j.ijhydene.2013.12.046,three dimensionally ordered macroporous lafeo3 perovskites for chemical looping steam reforming of methane::2014.0,,candidate,no,2025,8.3,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/international-journal-of-hydrogen-energy,no
paper_0147,Tuning the Performance of Ni‐Based Catalyst by Doping Coinage Metal on Steam Reforming of Methane and Carbon‐Tolerance,M. Wang,2014.0,Fuel Cells,10.1002/fuce.201300254,"Abstract Density functional theory (DFT) calculations are employed to investigate the key reactions in steam reforming of methane (SRM) on Ni‐based bimetallic surface alloys, including the dissociation of CH 4 and H 2 O, the oxidation of CH by oxygen atom to form formyl (CHO), and the dehydrogenation of CHO to form carbon monoxide (CO). The aim of this investigation is to hunt for an optimal catalyst for SRM, which can inhibit carbon formation while maintaining high activity to the SRM. Coinage metal impurity (Au, Ag, and Cu) doped Ni catalysts have been proven to inhibit carbon deposition. In this work, we focus on investigating the doping effects on some leading processes in SRM. It is found that the coinage metal doping has a little effect on the two‐step dissociation of H 2 O, which has a linear correlation between the dissociation barriers and the OH–H coadsorption energies. In addition, the dehydrogenation of CHO is kinetically favorable on all alloy surfaces. However, for the CH oxidation to CHO, only the Ni–Cu surface remains high activity. These results suggest that Ni–Cu bimetallic material is an excellent active carbon‐tolerance SRM catalyst for solid‐oxide fuel cells.",crossref;openalex,no,yes,yes,journal_article,Ni-based steam reforming of methane catalyst || SRM catalyst methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,tuning the performance of ni based catalyst by doping coinage metal on steam reforming of methane and carbon tolerance,10.1002/fuce.201300254,tuning the performance of ni based catalyst by doping coinage metal on steam reforming of methane and carbon tolerance::2014.0,,candidate,no,,,,,,yes
